#{"t_start": 1763179029.037796, "env_id": "None"}
r,l,t
-577.64545,500,270.767063
-965.22473,500,270.767089
-432.14343,500,270.767108
-1282.7085,500,270.767119
-243.60371,500,270.767128
-420.90637,500,277.747106
-344.08298,500,277.747171
-295.79266,500,277.747191
-583.2713,500,277.747202
-380.2375,500,277.747212
-756.13055,500,277.747222
-1163.936,500,284.265661
-344.1867,500,284.265719
-367.59647,500,284.265735
-314.29807,500,284.265747
-1099.4269,500,284.265757
-347.49377,500,284.265767
-271.66165,500,290.805236
-843.6321,500,290.805298
-1309.774,500,290.805313
-570.45874,500,290.805324
-366.2401,500,290.805337
-283.1991,500,290.805345
-529.77997,500,297.149881
-450.42847,500,297.14994
-264.8511,500,297.149956
-1348.1239,500,297.149966
-523.8858,500,297.149976
-387.40112,500,297.149985
-1058.4742,500,303.61607
-288.1793,500,303.616127
-262.49237,500,303.616143
-452.76392,500,303.616154
-1444.7365,500,303.616163
-619.6448,500,303.616172
-1922.1508,500,309.819482
-267.36023,500,309.819534
-335.16748,500,309.819552
-651.57935,500,309.819563
-368.52832,500,309.819572
-375.56564,500,309.819581
-462.5037,500,316.255986
-489.6716,500,316.256047
-473.12253,500,316.256063
-1126.9097,500,316.256074
-282.27145,500,316.256084
-637.8282,500,316.256093
-316.94705,500,322.50208
-639.0731,500,322.502424
-333.90793,500,322.502451
-585.5278,500,322.502464
-780.83514,500,322.502474
-588.06976,500,322.502483
-417.307,500,329.036643
-1298.0305,500,329.036699
-989.3235,500,329.036714
-304.6579,500,329.036725
-1935.6881,500,329.036735
-674.01575,500,329.036744
-2130.7268,500,335.30075
-588.63513,500,335.300806
-644.3322,500,335.300824
-335.20572,500,335.300835
-286.07373,500,335.300844
-832.9152,500,335.300853
-295.63998,500,341.617672
-560.7451,500,341.617735
-571.688,500,341.617753
-360.13812,500,341.617764
-284.99667,500,341.617773
-2004.7361,500,341.617782
-647.40216,500,347.79989
-359.91916,500,347.799946
-460.57986,500,347.799966
-334.96237,500,347.799976
-724.4772,500,347.799985
-571.6554,500,347.799994
-2151.1167,500,354.104825
-1016.1444,500,354.104886
-350.7368,500,354.1049
-649.06824,500,354.104911
-1386.7156,500,354.104921
-427.51294,500,354.10493
-1774.5409,500,360.211654
-431.65668,500,360.211711
-2783.268,500,360.211726
-307.28735,500,360.211737
-237.50331,500,360.211746
-301.39597,500,360.211755
-1981.881,500,366.512112
-1046.7495,500,366.51246
-302.58142,500,366.512486
-591.41095,500,366.512498
-775.26843,500,366.512509
-296.45505,500,366.512522
-321.73468,500,372.615998
-412.5501,500,372.616056
-2024.6288,500,372.616073
-287.3771,500,372.616087
-1081.3441,500,372.616097
-475.3268,500,372.616107
-1189.4003,500,378.847153
-498.09476,500,378.847213
-326.3818,500,378.847228
-703.17194,500,378.847238
-515.98047,500,378.847248
-358.40182,500,378.847257
-464.06946,500,385.018641
-465.16397,500,385.01899
-687.9389,500,385.019011
-356.87305,500,385.019021
-524.7029,500,385.019031
-469.99228,500,385.019043
-466.28918,500,391.300131
-866.03577,500,391.300194
-879.42053,500,391.300208
-548.93463,500,391.300218
-334.68027,500,391.300227
-1140.887,500,391.300235
-787.5825,500,397.395625
-569.5784,500,397.395682
-1172.3738,500,397.395698
-2640.4138,500,397.395709
-331.0262,500,397.395718
-288.03683,500,397.395727
-473.85254,500,403.647965
-632.3149,500,403.648023
-523.3301,500,403.648039
-761.6579,500,403.648049
-489.91525,500,403.648059
-424.2438,500,403.648068
-1385.4976,500,409.721904
-403.10385,500,409.721964
-497.67755,500,409.721982
-263.6102,500,409.721993
-726.18994,500,409.722003
-529.8522,500,409.722012
-311.20667,500,415.959847
-799.8311,500,415.959913
-337.15634,500,415.959928
-273.3311,500,415.959939
-536.30676,500,415.959948
-572.10034,500,415.959957
-517.6218,500,422.003175
-504.0688,500,422.003233
-430.86267,500,422.003251
-447.9763,500,422.003262
-823.6423,500,422.003272
-306.62833,500,422.003284
-248.04742,500,428.25023
-360.05374,500,428.250288
-475.83185,500,428.250306
-300.47162,500,428.250316
-521.8959,500,428.250326
-289.25912,500,428.250335
-798.64105,500,434.301686
-414.97775,500,434.30174
-549.19916,500,434.301756
-339.79443,500,434.301767
-1373.1625,500,434.301777
-518.296,500,434.301785
-195.49255,500,440.512581
-681.99243,500,440.512641
-525.99475,500,440.512658
-392.78195,500,440.512669
-652.8579,500,440.512678
-628.94904,500,440.512687
-297.7093,500,446.625301
-1413.9246,500,446.625357
-720.50024,500,446.625372
-1141.5648,500,446.625382
-415.60727,500,446.625391
-315.62372,500,446.6254
-345.78018,500,452.763746
-218.02184,500,452.763806
-500.5343,500,452.763821
-406.84808,500,452.763833
-620.88983,500,452.763842
-493.20282,500,452.763851
-501.6929,500,458.793484
-319.73502,500,458.793533
-357.57358,500,458.793549
-833.1948,500,458.79356
-233.68718,500,458.793569
-392.63477,500,458.793578
-839.40405,500,464.984485
-471.19806,500,464.984543
-413.19376,500,464.984558
-825.8269,500,464.984569
-323.0953,500,464.984578
-463.53754,500,464.984587
-1430.3062,500,471.036689
-1404.7662,500,471.036749
-527.8325,500,471.036768
-289.63745,500,471.036779
-468.8878,500,471.036791
-754.67645,500,471.0368
-844.94025,500,477.186717
-1565.8115,500,477.186774
-417.34753,500,477.186792
-694.7558,500,477.186803
-432.40738,500,477.186812
-335.7168,500,477.186821
-902.2507,500,483.242892
-478.18253,500,483.24295
-910.31573,500,483.242965
-340.90762,500,483.242976
-273.34357,500,483.242985
-945.31506,500,483.242995
-865.6301,500,489.423368
-1139.3551,500,489.423421
-538.6377,500,489.423436
-782.3036,500,489.423447
-1421.4215,500,489.423457
-292.26984,500,489.423465
-1315.5267,500,495.538493
-475.38074,500,495.538554
-400.86142,500,495.53857
-199.8031,500,495.538582
-897.892,500,495.538592
-1615.694,500,495.538601
-235.46059,500,501.741706
-343.99216,500,501.741764
-3178.1208,500,501.74178
-786.673,500,501.741792
-1338.3362,500,501.741822
-254.92647,500,501.741831
-324.5111,500,507.769254
-731.61334,500,507.769607
-1188.8433,500,507.769637
-255.61946,500,507.76965
-839.6661,500,507.769661
-296.92346,500,507.769673
