#{"t_start": 1762358729.7267962, "env_id": "None"}
r,l,t
-352.69028,501,52.944789
-344.254,501,52.944833
-359.7573,501,52.944845
-354.17615,501,52.944854
-345.70016,501,53.742527
-351.95758,501,53.74332
-336.894,501,53.743366
-349.60373,501,53.743375
-343.33032,501,54.665942
-343.03238,501,54.665998
-349.05142,501,54.66601
-369.70456,501,54.666019
-361.2171,501,55.442292
-367.7276,501,55.442339
-360.11642,501,55.44235
-368.80725,501,55.442359
-351.02393,501,56.407038
-353.58337,501,56.407086
-353.3978,501,56.407098
-342.06723,501,56.407106
-334.84644,501,57.197743
-363.71387,501,57.197798
-340.0585,501,57.197811
-328.51538,501,57.19782
-343.02063,501,58.113154
-361.78232,501,58.113203
-338.40674,501,58.113217
-358.91367,501,58.113226
-355.6245,501,58.899835
-345.64795,501,58.899885
-364.81134,501,58.899897
-363.5531,501,58.899906
-403.58572,501,59.784071
-365.61316,501,59.784386
-380.05862,501,59.784411
-345.09393,501,59.784425
-370.95642,501,60.57617
-347.1899,501,60.576221
-358.768,501,60.576234
-354.64716,501,60.576242
-338.04086,501,61.462645
-328.94012,501,61.462702
-354.2989,501,61.462715
-351.76706,501,61.462724
-339.8002,501,62.265356
-338.14737,501,62.265407
-356.7049,501,62.265421
-350.1885,501,62.26543
-415.33728,501,63.167702
-341.1729,501,63.167752
-340.51602,501,63.167764
-358.9316,501,63.167772
-343.06598,501,63.957509
-320.30875,501,63.957561
-353.44815,501,63.957574
-353.546,501,63.957583
-346.9092,501,64.912197
-346.57233,501,64.912249
-353.60812,501,64.912261
-334.24072,501,64.91227
-374.64044,501,65.706943
-344.32156,501,65.706997
-337.62772,501,65.70701
-372.3949,501,65.707019
-353.73114,501,66.604096
-351.22104,501,66.604411
-358.6701,501,66.604431
-352.63257,501,66.604442
-338.97867,501,67.403431
-343.38223,501,67.403485
-341.26416,501,67.403497
-351.19305,501,67.403506
-345.33945,501,68.308657
-356.6841,501,68.308707
-356.9466,501,68.30872
-344.75192,501,68.308729
-350.23636,501,69.098707
-360.73776,501,69.098751
-341.61118,501,69.098762
-345.5386,501,69.09877
-327.41733,501,70.006251
-344.17755,501,70.006297
-352.02332,501,70.006309
-353.08557,501,70.006316
-372.85046,501,70.812722
-344.37997,501,70.812769
-340.6607,501,70.81278
-351.0523,501,70.812789
-351.13406,501,71.723953
-385.45477,501,71.723998
-339.42822,501,71.724009
-346.43564,501,71.724017
-341.69116,501,72.797745
-340.8584,501,72.797817
-356.7917,501,72.797838
-377.33322,501,72.797848
-338.77182,501,73.717835
-368.92804,501,73.717891
-351.7225,501,73.717907
-365.1826,501,73.717915
-365.41187,501,74.523995
-370.26492,501,74.524041
-348.11682,501,74.524053
-333.8939,501,74.524062
-326.0435,501,75.427
-340.84503,501,75.427047
-328.8592,501,75.427058
-338.22235,501,75.427067
-356.32214,501,76.233519
-344.1186,501,76.233576
-345.16846,501,76.233588
-359.35107,501,76.233597
-338.05945,501,77.241185
-364.71454,501,77.241237
-357.81937,501,77.241249
-350.79617,501,77.241257
-379.99628,501,78.060938
-359.16415,501,78.060992
-344.90997,501,78.061005
-343.55435,501,78.061014
-346.93588,501,78.98826
-343.76822,501,78.988314
-332.02774,501,78.988326
-347.65814,501,78.988334
-337.97763,501,79.805588
-343.58,501,79.805645
-337.2317,501,79.805657
-356.37012,501,79.805667
-367.7423,501,80.726577
-363.5709,501,80.726923
-336.3206,501,80.726944
-333.8453,501,80.726954
-347.53827,501,81.66627
-344.72717,501,81.666308
-358.646,501,81.666321
-337.43558,501,81.66633
-332.46512,501,82.47927
-354.5819,501,82.479323
-357.8071,501,82.479336
-337.18842,501,82.479345
-354.17938,501,83.371348
-342.99277,501,83.371398
-345.81976,501,83.371413
-331.06952,501,83.371422
-364.37683,501,84.17063
-339.14426,501,84.170672
-335.92557,501,84.170685
-339.263,501,84.170694
-340.4328,501,85.061242
-335.92377,501,85.06129
-342.64673,501,85.061304
-350.76743,501,85.061314
-338.47763,501,85.858047
-340.74582,501,85.858089
-337.4262,501,85.858104
-332.72177,501,85.858113
-344.06537,501,86.773173
-354.7406,501,86.773225
-368.5019,501,86.773238
-361.07797,501,86.773247
-340.85834,501,87.583836
-329.703,501,87.583882
-347.33685,501,87.583896
-334.1834,501,87.583906
-333.133,501,88.478976
-332.48282,501,88.479026
-352.00082,501,88.479043
-348.374,501,88.479053
-340.39508,501,89.277091
-334.5362,501,89.277129
-337.96295,501,89.277141
-329.4747,501,89.27715
-346.26102,501,90.169198
-368.5728,501,90.16925
-348.8472,501,90.169262
-340.92422,501,90.169271
-323.84286,501,90.967708
-355.159,501,90.967747
-371.88898,501,90.967759
-374.00275,501,90.967767
-337.13257,501,91.871068
-336.21335,501,91.871116
-332.8589,501,91.871129
-373.47238,501,91.871138
-324.33307,501,92.668441
-333.9016,501,92.668489
-318.81238,501,92.668502
-409.02527,501,92.668511
-326.88736,501,93.559934
-350.88376,501,93.559983
-335.54865,501,93.559999
-319.2215,501,93.560008
-331.3898,501,94.355148
-387.89185,501,94.355188
-321.62177,501,94.355202
-395.2055,501,94.355211
-356.16888,501,95.247471
-329.07578,501,95.247527
-374.43127,501,95.247539
-327.7258,501,95.247548
-342.7497,501,96.04541
-347.6778,501,96.045445
-334.30554,501,96.045456
-338.29684,501,96.045464
-318.56738,501,96.94723
-341.27454,501,96.947281
-330.48923,501,96.947297
-330.01553,501,96.947306
-303.7659,501,97.743936
-330.1164,501,97.743986
-325.55972,501,97.743998
-333.20822,501,97.744008
-373.397,501,98.634404
-333.28876,501,98.634457
-316.4862,501,98.634471
-334.42023,501,98.634481
-383.39996,501,99.430015
-334.51974,501,99.430053
-331.28363,501,99.430065
-335.03815,501,99.430074
-352.0917,501,100.320186
-318.0565,501,100.320237
-336.45023,501,100.320253
-330.515,501,100.320263
-314.68796,501,101.114421
-371.03854,501,101.114462
-331.42294,501,101.114475
-314.6292,501,101.114484
-310.34457,501,102.014969
-352.54,501,102.015021
-320.01816,501,102.015034
-349.85983,501,102.015048
-320.30496,501,102.816006
-337.40634,501,102.816051
-346.77435,501,102.816062
-365.39264,501,102.816072
-325.44562,501,103.710141
-338.01382,501,103.710188
-320.0419,501,103.710199
-306.36365,501,103.710207
-323.4535,501,104.510738
-317.86237,501,104.51077
-333.36823,501,104.510783
-329.83536,501,104.510791
-352.62216,501,105.405729
-360.4819,501,105.405778
-376.60736,501,105.405791
-322.00388,501,105.4058
-334.64575,501,106.209708
-321.41202,501,106.209745
-339.1317,501,106.209757
-363.1593,501,106.209765
-310.22537,501,107.118304
-343.60587,501,107.118351
-313.4571,501,107.118363
-386.79404,501,107.118371
-307.83472,501,107.927864
-315.47385,501,107.927906
-342.4364,501,107.927922
-307.88614,501,107.92793
-329.6496,501,108.829563
-315.62766,501,108.829612
-298.96,501,108.829624
-363.6659,501,108.829635
-358.13574,501,109.636468
-334.01703,501,109.636508
-307.26675,501,109.636519
-335.7242,501,109.636527
-306.7088,501,110.54361
-340.31525,501,110.543654
-332.15778,501,110.543666
-298.51392,501,110.543674
-304.89877,501,111.351875
-338.03418,501,111.351915
-341.6943,501,111.351929
-295.06995,501,111.351938
-319.71698,501,112.263882
-316.6259,501,112.263927
-325.90088,501,112.263938
-313.47977,501,112.263946
-342.1683,501,113.077256
-308.96024,501,113.077299
-359.01236,501,113.077312
-299.47632,501,113.07732
-309.5177,501,113.985923
-362.63403,501,113.985972
-357.39746,501,113.985986
-329.60358,501,113.985994
-349.29678,501,114.797401
-301.55594,501,114.797437
-324.11148,501,114.797447
-311.90155,501,114.797455
-314.0844,501,115.705661
-361.82016,501,115.705706
-374.9534,501,115.705718
-307.41354,501,115.705726
-345.12842,501,116.515118
-296.90585,501,116.515154
-375.3209,501,116.515165
-343.8527,501,116.515173
-292.36844,501,117.438042
-376.10315,501,117.438091
-357.96127,501,117.438103
-323.49173,501,117.438111
-309.56796,501,118.251254
-305.66235,501,118.251296
-297.94016,501,118.251309
-296.64606,501,118.25132
-372.12537,501,119.167996
-312.84647,501,119.168044
-354.9331,501,119.168057
-375.15622,501,119.168071
-287.61313,501,119.978669
