#{"t_start": 1763848939.568932, "env_id": "None"}
r,l,t
-293.85822,500,54.158205
-188.44302,500,54.158212
-349.38196,500,54.15822
-196.07777,500,55.396094
-217.04434,500,55.396143
-195.70433,500,55.396156
-220.52051,500,55.39617
-377.92126,500,55.396177
-206.62898,500,55.396185
-180.35603,500,56.695807
-190.35527,500,56.695859
-257.46033,500,56.695871
-236.57945,500,56.69588
-238.38039,500,56.695887
-175.51985,500,56.695894
-253.97408,500,58.342259
-164.86707,500,58.342596
-226.25552,500,58.342617
-184.43178,500,58.342628
-140.1389,500,58.342636
-187.35313,500,58.342643
-203.5393,500,59.58454
-222.61588,500,59.584586
-246.301,500,59.584602
-210.97838,500,59.58461
-470.73132,500,59.584618
-235.80873,500,59.584624
-194.09149,500,60.985703
-206.02032,500,60.98576
-256.166,500,60.985772
-197.37505,500,60.98578
-244.29852,500,60.985787
-251.26901,500,60.985798
-198.08795,500,62.224839
-354.02576,500,62.224891
-205.54219,500,62.224902
-188.68408,500,62.224911
-191.47762,500,62.224918
-214.44647,500,62.224925
-185.80225,500,63.623199
-235.96884,500,63.623256
-188.5859,500,63.623269
-195.12369,500,63.62328
-191.2157,500,63.623289
-218.50105,500,63.623297
-239.74089,500,64.849143
-225.08072,500,64.84919
-217.18939,500,64.849202
-198.17677,500,64.84921
-222.79251,500,64.849218
-196.05533,500,64.849225
-185.96028,500,66.235457
-147.21603,500,66.23551
-191.37415,500,66.235522
-252.16235,500,66.235531
-216.76286,500,66.235542
-235.09508,500,66.235549
-172.25423,500,67.510145
-247.24779,500,67.510194
-197.21819,500,67.510207
-240.21297,500,67.510215
-189.50224,500,67.510222
-184.76999,500,67.510229
-239.9781,500,68.898106
-249.21841,500,68.898156
-222.43813,500,68.898168
-194.65738,500,68.898177
-172.64674,500,68.898185
-165.63681,500,68.898192
-151.2205,500,70.134864
-216.36826,500,70.134917
-242.62428,500,70.134929
-204.14073,500,70.134938
-207.72565,500,70.134945
-240.35577,500,70.134952
-198.66144,500,71.518115
-218.09976,500,71.518181
-177.65186,500,71.518192
-213.80867,500,71.518199
-224.33086,500,71.518206
-222.51268,500,71.518212
-214.59836,500,72.788974
-127.37327,500,72.789023
-182.19531,500,72.789033
-232.44429,500,72.789041
-197.75,500,72.789047
-188.46956,500,72.789054
-202.50578,500,74.183158
-187.1135,500,74.18321
-150.39758,500,74.183225
-176.60722,500,74.183234
-189.61452,500,74.183241
-206.47151,500,74.183249
-170.28247,500,75.450053
-181.76067,500,75.450107
-214.3522,500,75.450118
-254.80234,500,75.450127
-241.99524,500,75.450134
-160.16574,500,75.450141
-146.09459,500,76.847373
-179.68924,500,76.847429
-143.8033,500,76.847441
-196.17137,500,76.847449
-197.38098,500,76.847457
-174.13506,500,76.847464
-207.61313,500,78.114752
-187.3212,500,78.114808
-201.92435,500,78.114823
-181.83148,500,78.114832
-425.02325,500,78.114839
-220.14389,500,78.114846
-239.12698,500,79.518847
-206.19035,500,79.518896
-161.30782,500,79.518908
-209.51265,500,79.518917
-194.23686,500,79.518924
-171.23302,500,79.518931
-154.01227,500,80.776955
-190.68533,500,80.777013
-193.88414,500,80.777025
-159.88152,500,80.777034
-215.06029,500,80.777041
-152.9541,500,80.777048
-155.83733,500,82.179065
-145.61636,500,82.179117
-156.84358,500,82.179129
-158.35419,500,82.179138
-152.86024,500,82.179146
-167.8832,500,82.179153
-178.18977,500,83.447753
-180.637,500,83.447799
-147.08243,500,83.447811
-167.88953,500,83.44782
-210.32742,500,83.447828
-208.03522,500,83.447835
-182.71199,500,84.847924
-144.9686,500,84.847975
-115.1126,500,84.847992
-187.69803,500,84.848001
-181.62013,500,84.848008
-170.13368,500,84.848015
-236.202,500,86.122747
-229.4179,500,86.122797
-142.99362,500,86.122809
-146.5858,500,86.122818
-155.8002,500,86.122826
-159.52406,500,86.122833
-127.99837,500,87.553866
-134.10323,500,87.553924
-165.90611,500,87.553939
-163.80038,500,87.553948
-173.96873,500,87.553955
-104.98745,500,87.553962
-177.84215,500,88.813346
-151.25208,500,88.813399
-89.24494,500,88.813413
-171.15805,500,88.813421
-125.48233,500,88.813428
