#{"t_start": 1763618517.032555, "env_id": "None"}
r,l,t
-215.60086,500,52.726192
-224.9256,500,52.726199
-243.65048,500,53.937209
-247.63861,500,53.937255
-246.97507,500,53.937266
-199.03822,500,53.937273
-171.27167,500,53.93728
-210.87627,500,53.937286
-219.01315,500,55.18037
-175.6753,500,55.180427
-214.7375,500,55.180445
-213.89159,500,55.180455
-200.74405,500,55.180463
-192.52754,500,55.180471
-238.93237,500,56.548235
-180.9165,500,56.548289
-276.7757,500,56.548305
-187.2659,500,56.548313
-183.35751,500,56.54832
-180.81563,500,56.548328
-184.93985,500,57.753231
-200.13083,500,57.753284
-236.5049,500,57.7533
-175.28377,500,57.753308
-245.0404,500,57.753316
-204.07607,500,57.753323
-176.1405,500,59.116858
-234.63165,500,59.116911
-198.71799,500,59.116924
-218.80943,500,59.116933
-212.34904,500,59.116941
-236.35944,500,59.116948
-196.38304,500,60.340136
-183.25043,500,60.340191
-172.97676,500,60.340208
-327.8164,500,60.340217
-198.6799,500,60.340224
-197.83911,500,60.340231
-205.86465,500,61.704129
-141.32092,500,61.704185
-179.32095,500,61.704199
-171.82784,500,61.704208
-210.81161,500,61.704216
-193.82733,500,61.704223
-179.46416,500,62.92088
-187.59273,500,62.920935
-200.85252,500,62.920947
-205.34218,500,62.920956
-192.45987,500,62.920964
-179.26184,500,62.920971
-164.02731,500,64.298748
-148.26534,500,64.298797
-197.01941,500,64.29881
-140.55637,500,64.298818
-228.63086,500,64.298826
-199.0362,500,64.298833
-176.82736,500,65.796877
-198.3335,500,65.797615
-181.96416,500,65.797641
-213.20644,500,65.797652
-188.97131,500,65.797661
-196.14723,500,65.797668
-199.32426,500,67.455762
-150.94038,500,67.45593
-179.45497,500,67.45596
-222.80907,500,67.455972
-169.86464,500,67.455982
-174.78845,500,67.45599
-156.38075,500,68.952022
-204.65353,500,68.952059
-242.9137,500,68.95207
-215.89566,500,68.952078
-220.27068,500,68.952086
-185.99663,500,68.952094
-196.4655,500,70.659837
-175.53029,500,70.659878
-190.33286,500,70.659888
-172.39679,500,70.659896
-189.12474,500,70.659903
-168.2504,500,70.65991
-197.6807,500,72.181209
-174.5075,500,72.181245
-242.53497,500,72.181256
-173.96423,500,72.181264
-187.31584,500,72.181271
-176.37244,500,72.181277
-214.43161,500,74.287683
-202.46814,500,74.287725
-190.31253,500,74.287736
-180.83105,500,74.287743
-207.07047,500,74.287749
-226.21916,500,74.287755
-177.87978,500,75.5428
-169.34265,500,75.542849
-181.02252,500,75.542861
-164.3941,500,75.542868
-175.1671,500,75.542875
-158.34726,500,75.542882
-183.57523,500,76.904353
-189.36162,500,76.904402
-228.00336,500,76.904413
-160.02242,500,76.90442
-242.20073,500,76.904427
-171.31868,500,76.904433
-163.38113,500,78.111589
-192.22346,500,78.111642
-164.40749,500,78.111653
-195.4879,500,78.11166
-374.15695,500,78.111667
-248.95569,500,78.111673
-194.13037,500,79.471694
-178.96431,500,79.471739
-162.87457,500,79.471752
-169.43668,500,79.471759
-211.66277,500,79.471765
-181.37903,500,79.471771
-163.02298,500,80.70844
-202.22415,500,80.708489
-183.33203,500,80.708503
-201.40184,500,80.70851
-117.45202,500,80.708517
-150.98384,500,80.708523
-168.28209,500,82.070297
-142.173,500,82.070345
-143.61745,500,82.07036
-181.65761,500,82.070368
-157.73045,500,82.070375
-156.60347,500,82.070381
-154.20769,500,83.280061
-198.18332,500,83.280107
-131.23299,500,83.280118
-167.73198,500,83.280125
-162.25337,500,83.280131
-176.2331,500,83.280137
-179.97354,500,84.639066
-136.79726,500,84.639111
-158.25542,500,84.639122
-188.05939,500,84.639129
-152.16844,500,84.639136
-165.9371,500,84.639142
-168.26288,500,85.872903
-165.36426,500,85.872952
-157.07283,500,85.872963
-150.40054,500,85.872971
-151.36577,500,85.872977
-153.28712,500,85.872983
-143.45847,500,87.234416
-121.1803,500,87.234466
-200.73926,500,87.234481
-165.302,500,87.234489
-148.35594,500,87.234496
-114.266716,500,87.234502
-219.03113,500,88.460971
-184.03505,500,88.461016
-164.88582,500,88.461027
-114.34258,500,88.461035
-197.50395,500,88.461041
-140.88629,500,88.461048
-241.59535,500,89.825709
-151.30888,500,89.825766
-172.9047,500,89.825782
-193.91263,500,89.825791
-157.04973,500,89.825799
-183.98686,500,89.825806
-162.41447,500,91.05588
-141.10481,500,91.055932
-154.80348,500,91.055947
-139.82889,500,91.055955
-127.70625,500,91.055963
-167.01581,500,91.05597
-147.6165,500,92.421028
-202.2198,500,92.421078
-156.82907,500,92.421091
-115.18601,500,92.421099
-107.152466,500,92.421107
-147.00137,500,92.421114
-123.68978,500,93.634238
-137.20912,500,93.634287
-196.38893,500,93.634303
-140.56183,500,93.634311
-158.02922,500,93.634318
-133.7553,500,93.634325
-137.8464,500,95.012079
-152.78937,500,95.012135
-101.98488,500,95.012147
-135.69658,500,95.012156
-143.67152,500,95.012163
-140.9497,500,95.01217
-135.28294,500,96.271638
-125.11165,500,96.271689
-109.50729,500,96.271701
-71.83345,500,96.27171
-132.79828,500,96.271717
-187.78719,500,96.271727
-162.816,500,97.631301
-108.398544,500,97.631353
-57.17479,500,97.631368
-118.53693,500,97.631376
-158.64566,500,97.631383
-130.02898,500,97.63139
-77.303314,500,98.844471
-130.6067,500,98.844531
-141.11465,500,98.844544
-111.98455,500,98.844553
-149.08592,500,98.84456
-114.183495,500,98.844568
-152.55417,500,100.212756
-159.43756,500,100.212811
-158.89919,500,100.212827
-93.19456,500,100.212835
-91.06104,500,100.212843
-144.50433,500,100.21285
-195.21576,500,101.444122
-131.43127,500,101.444174
-150.33635,500,101.444188
-106.60906,500,101.444196
-116.904205,500,101.444207
-151.00241,500,101.444214
-136.1623,500,102.80683
-112.93779,500,102.806881
-158.59167,500,102.806894
-104.900276,500,102.806903
-98.20269,500,102.806914
-164.8542,500,102.806921
-158.36731,500,104.021889
-122.10698,500,104.021944
-60.618248,500,104.021957
-97.56346,500,104.021965
-154.17043,500,104.021973
-122.1404,500,104.02198
-123.69273,500,105.401142
-85.71202,500,105.401198
-63.259052,500,105.40121
-135.59363,500,105.401228
-110.12823,500,105.401235
-111.96412,500,105.401242
-120.36567,500,106.631476
-49.307034,500,106.63153
-115.94508,500,106.631542
-138.23372,500,106.631549
-175.75725,500,106.631556
-144.75154,500,106.631563
-78.660995,500,107.994675
-134.83156,500,107.994719
-91.071815,500,107.99473
-75.117004,500,107.994738
-115.94606,500,107.994744
-51.71595,500,107.99475
-138.29993,500,109.212767
-133.5771,500,109.212811
-106.91012,500,109.212822
-110.394646,500,109.212829
-95.28155,500,109.212835
-124.00174,500,109.212842
-84.56926,500,110.585138
-115.54996,500,110.585188
-93.845276,500,110.5852
-76.15024,500,110.585209
-72.409485,500,110.585216
-79.322876,500,110.585222
-76.15429,500,111.807258
-114.89829,500,111.807308
-77.19164,500,111.807322
-135.55415,500,111.80733
-53.96437,500,111.80734
-93.39797,500,111.807346
-167.47183,500,113.025261
-111.23449,500,113.025309
-120.07585,500,113.02532
-111.34582,500,113.025328
-86.315605,500,113.025335
-130.89546,500,113.025344
-89.19122,500,114.398542
-112.80439,500,114.398588
-78.44795,500,114.398599
-96.90785,500,114.398607
-92.68991,500,114.398613
-127.838615,500,114.39862
-42.04871,500,115.654804
-61.58979,500,115.654851
-109.11553,500,115.654862
-121.9237,500,115.65487
-96.87393,500,115.654877
-80.865295,500,115.654883
-107.06699,500,117.027556
-98.45462,500,117.027608
-76.67909,500,117.027619
-99.4771,500,117.027627
-9.109661,500,117.027634
-97.03911,500,117.02764
-129.67975,500,118.250303
-90.600464,500,118.250356
